Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\JibSineTest_230425.csv,
Starttime of export,133898804820400000,onsdag 23. april 2025,13:14:42.040
Endtime of export,133898805323500000,onsdag 23. april 2025,13:15:32.350


Name,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,23.091098507606034,0.19418359033140645,141.39565757371597,0.0032861124889165755,0.72957395969525873,0.72957395969525873,0,0,0,0,0,0,0,-7.4473015589937575E-06,60.822616938415912,9.9448541944780615,78.57187288875808,70.721694300337816,0.25012891221486805,0.25012891221486805,0,0,0,0,0,0,-5.5400321290699495E-05,0,0,0,1.4663667964403828,-0.022574992268838263,0.022508038585209004,-0.020269575059162465,-0.021782178217821781,-0.020761964081802139
10,23.080441136802424,0.19215868023321886,141.40490189180196,0.0023741353632943806,0.72956636137461139,0.72956636137461139,0,0,0,0,0,0,0,7.5983206473395626E-06,60.813660869010121,9.934046555045585,78.552821343127988,70.724550379844814,0.24999494153798352,0.24999494153798352,0,-0.0015347589392042948,-1.6272857503469733E-06,-9.0404763908165182E-07,0,0,0.00013397067688453168,0,0,0,1.4663667940169514,-0.023399649520667972,0.022922933305673684,-0.020681140034983024,-0.022511724856696197,-0.021384823004256204
20,23.089670763398249,0.1898525347848892,141.40605183617129,0.001601078275335529,0.72956419034080111,0.72956419034080111,0,0,0,0,0,0,0,2.1710338102831628E-06,60.7931193698721,9.9239940725919045,78.538982475195169,70.724707816850255,0.2500984153787259,0.2500984153787259,0,0,0,0,0,0,-0.00010347384074238519,0,0,0,1.4663667921736883,-0.02309040305123183,0.022508038585209004,-0.020578248791027882,-0.022407503908285567,-0.021281013183847192
30,23.104325901837221,0.19159502585447122,141.39963882145065,0.0010100247136685539,0.72955387448952624,0.72955387448952624,0,0,0,0,0,0,0,1.0315851274866894E-05,60.764955856390095,9.9291885300297977,78.54485453348893,70.72936903897552,0.25012794397884774,0.25012794397884774,0,0,0,0,0,0,-2.9528600121841997E-05,0,0,0,1.4663667908742057,-0.022678074425316979,0.022300591224976664,-0.020269575059162465,-0.022199062011464304,-0.02086577390221115
40,23.111460806779711,0.19485145526563213,141.39279716720989,0.00059155943298536758,0.72955245455838846,0.72955245455838846,0,0,0,0,0,0,0,1.4199311377804946E-06,60.747359332503535,9.934579100051975,78.560411321546624,70.731476623780381,0.25008273269797376,0.25008273269797376,0,0,0,0,0,0,4.5211280873980186E-05,0,0,0,1.4663667900175354,-0.022162663642923412,0.021989420184628152,-0.019858010083341909,-0.021573736321000521,-0.020346724800166097
50,23.117976587580802,0.19826723476435248,141.38874109138195,0.00031457780959399045,0.72956061980467912,0.72956061980467912,0,0,0,0,0,0,0,-8.1652462906589562E-06,60.74860998363684,9.923964087475575,78.558748280772676,70.726409694734187,0.250249161165132,0.250249161165132,0,0.0026376823650231529,2.79670169490528E-06,1.5537231638362666E-06,0,0,-0.00016642846715825277,0,0,0,1.4663667894899866,-0.02185341717348727,0.02167824914427964,-0.019240662619611069,-0.021156852527357998,-0.020035295338939062
60,23.130826906511807,0.1974073297188163,141.38273467657439,0.000143264269735706,0.72956629941264184,0.72956629941264184,0,0,0,0,0,0,0,-5.679607962716382E-06,60.763698573724788,9.9174773334930766,78.544029597734735,70.711343838652041,0.25016414632705913,0.25016414632705913,0,0.0019610753043757256,2.079303672160062E-06,1.1551687067555902E-06,0,0,8.5014838072883236E-05,0,0,0,1.4663667891900098,-0.02309040305123183,0.022819209625557516,-0.020269575059162465,-0.022303282959874934,-0.021281013183847192
70,23.127308397561627,0.19860808005169442,141.38061840688502,4.5317923567973441E-05,0.72956999557043667,0.72956999557043667,0,0,0,0,0,0,0,-3.6961577948302349E-06,60.780629226224256,9.9367001799956363,78.541100220589485,70.705657384113579,0.2501440186800129,0.2501440186800129,0,0.0010420435704041608,1.1048657936069892E-06,6.1381432978166058E-07,0,0,2.0127647046230823E-05,0,0,0,1.4663667890372698,-0.02309040305123183,0.022715485945441344,-0.020372466303117606,-0.022199062011464304,-0.021384823004256204
80,23.103774252736482,0.20243666384865228,141.39008018189858,-4.9675703147752454E-06,0.72957767858574651,0.72957767858574651,0,0,0,0,0,0,0,-7.6830153098450538E-06,60.799541212715305,9.9680755030789747,78.543829105008584,70.7030903212301,0.25026193167565192,0.25026193167565192,0,0.0023152028102870759,2.4547806473743081E-06,1.3637670263190602E-06,0,0,-0.00011791299563901347,0,0,0,1.4663667889733343,-0.023296567364189259,0.022819209625557516,-0.020681140034983024,-0.022407503908285567,-0.021384823004256204
90,23.075085329755417,0.2049203530128591,141.3860154349417,-2.6375126961350573E-05,0.7295804815862541,0.7295804815862541,0,0,0,0,0,0,0,-2.8030005075896369E-06,60.81065512412755,10.003724909012595,78.542909107309072,70.700393947305741,0.25014726883038607,0.25014726883038607,0,0,0,0,0,0,0.00011466284526584491,0,0,0,1.4663667889585588,-0.022884238738274405,0.022508038585209004,-0.020578248791027882,-0.022094841063053674,-0.020969583722620162
100,23.05050869986162,0.20642289716439155,141.38233711842446,-3.1700303146548186E-05,0.72958069407163362,0.72958069407163362,0,0,0,0,0,0,0,-2.1248537951379376E-07,60.820405986992739,10.031880278469956,78.546241950095762,70.701874168295944,0.25021671904832943,0.25021671904832943,0,0,0,0,0,0,-6.9450217943356485E-05,0,0,0,1.4663667889677774,-0.022368827955880837,0.02188569650451198,-0.019755118839386767,-0.021469515372589891,-0.020346724800166097
110,23.035396621817032,0.20725797736809251,141.38512254240607,-2.9099217394995554E-05,0.72956885250520576,0.72956885250520576,0,0,0,0,0,0,0,1.1841566427861494E-05,60.82993915497471,10.031363797152641,78.558555625283674,70.720216045735228,0.25025652349185568,0.25025652349185568,0,0.0015797562095478668,1.6749957945527221E-06,9.3055321919595669E-07,0,0,-3.98044435262479E-05,0,0,0,1.4663667889861414,-0.023193485207710546,0.022715485945441344,-0.020166683815207326,-0.022199062011464304,-0.02107339354302917
120,23.030632257707026,0.20385562466183338,141.37316785410727,-2.340766807008527E-05,0.72956442056600579,0.72956442056600579,0,0,0,0,0,0,0,4.4319391999669833E-06,60.834075024329827,10.01827947353104,78.574814570772148,70.739319571327471,0.25010824784235053,0.25010824784235053,0,0,0,0,0,0,0.00014827564950514738,0,0,0,1.466366789005672,-0.02247191011235955,0.02209314386474432,-0.019755118839386767,-0.021469515372589891,-0.020554344440984116
