time,MainPaCyl,Name_2,JibPaCyl,Name_4,JibPbCyl,Name_6,WinchPa,WinchPb,WinchDistance,Name_8
0,15.4585250238166,0,59.2271928093964,0,81.4925579489219,0,0,0,1.07073706458997,0
0.005,15.4736588195499,5,59.2495559487382,5,81.4999405230407,5,0,0,1.07073706216663,5
0.01,15.4868861103841,10,59.269762043211,10,81.5141177329017,10,0,0,1.07073706032344,10
0.015,15.5029256671984,15,59.2896737903551,15,81.5309847727175,15,0,0,1.070737059024,15
0.02,15.5062633983433,20,59.3120651673002,20,81.5406856238836,20,0,0,1.07073705816736,20
0.025,15.4977576770738,25,59.3358664007883,25,81.5399913962377,25,0,0,1.07073705763983,25
0.03,15.4853554949129,30,59.3489476672722,30,81.5329135331007,30,0,0,1.07073705733986,30
0.035,15.4712648177858,35,59.3533508150749,35,81.5088745037446,35,0,0,1.07073705718713,35
0.04,15.4738799587803,40,59.3418003143699,40,81.4849195862285,40,0,0,1.07073705712319,40
0.045,15.4834564416217,45,59.3192967532111,45,81.4590236694143,45,0,0,1.07073705710842,45
0.05,15.4869832924417,50,59.295475405698,50,81.4229713284536,50,0,0,1.07073705711764,50
0.055,15.4853843306498,55,59.2652611794042,55,81.3880683911421,55,0,0,1.070737057136,55
0.06,15.4741486674291,60,59.2541015650503,60,81.3495914519061,60,0,0,1.07073705715553,60
0.065,15.4718540834413,65,59.254996789105,65,81.3231715093181,65,0,0,1.07073705717252,65
0.07,15.4776747251207,70,59.25344501276,70,81.3157276157291,70,0,0,1.07073705718575,70
0.075,15.4861664302569,75,59.2510560730063,75,81.3292551078038,75,0,0,1.07073740465583,75
0.08,15.4945104149831,80,59.2467645851738,80,81.3556404951162,80,0,0,1.07073785114501,80
0.085,15.4976736711107,85,59.2423039464298,85,81.3835778005997,85,0,0,1.07073827159309,85
0.09,15.4942449177267,90,59.2441841214751,90,81.4097433727602,90,0,0,1.0707386148967,90
0.095,15.480818392261,95,59.2561930780055,95,81.4329476645047,95,0,0,1.07073887055851,95
0.1,15.4669843362777,100,59.2612635678085,100,81.4474094721544,100,0,0,1.07073904763368,100
0.105,15.4532245149949,105,59.2548562184002,105,81.4576625167085,105,0,0,1.07073916238881,105
0.11,15.4397398652211,110,59.2481985971941,110,81.4549263331121,110,0,0,1.07073923173168,110
0.115,15.4342012162211,115,59.2481890809328,115,81.4316369572861,115,0,0,1.07073927021259,115
0.12,15.4292202483816,120,59.2492075516924,120,81.3991048607957,120,0,0,1.07073928906974,120
0.125,15.4290756985115,125,59.2543330513177,125,81.3713881078992,125,0,0,1.07073929632522,125
0.13,15.4368061593797,130,59.2680951205021,130,81.3558427013202,130,0,0,1.07073929732965,130
0.135,15.4620537932356,135,59.2701740965938,135,81.3557193488017,135,0,0,1.07073929541961,135
0.14,15.4891801513014,140,59.2724933316109,140,81.3814815410996,140,0,0,1.07073929252212,140
