time,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,23.091098507606,0.194183590331406,141.395657573716,0.00328611248891658,0.729573959695259,0.729573959695259,0,0,0,0,0,0,0,-7.44730155899376e-06,60.8226169384159,9.94485419447806,78.5718728887581,70.7216943003378,0.250128912214868,0.250128912214868,0,0,0,0,0,0,-5.54003212906995e-05,0,0,0,1.46636679644038,-0.0225749922688383,0.022508038585209,-0.0202695750591625,-0.0217821782178218,-0.0207619640818021
0.01,23.0804411368024,0.192158680233219,141.404901891802,0.00237413536329438,0.729566361374611,0.729566361374611,0,0,0,0,0,0,0,7.59832064733956e-06,60.8136608690101,9.93404655504558,78.552821343128,70.7245503798448,0.249994941537984,0.249994941537984,0,-0.00153475893920429,-1.62728575034697e-06,-9.04047639081652e-07,0,0,0.000133970676884532,0,0,0,1.46636679401695,-0.023399649520668,0.0229229333056737,-0.020681140034983,-0.0225117248566962,-0.0213848230042562
0.02,23.0896707633982,0.189852534784889,141.406051836171,0.00160107827533553,0.729564190340801,0.729564190340801,0,0,0,0,0,0,0,2.17103381028316e-06,60.7931193698721,9.9239940725919,78.5389824751952,70.7247078168503,0.250098415378726,0.250098415378726,0,0,0,0,0,0,-0.000103473840742385,0,0,0,1.46636679217369,-0.0230904030512318,0.022508038585209,-0.0205782487910279,-0.0224075039082856,-0.0212810131838472
0.03,23.1043259018372,0.191595025854471,141.399638821451,0.00101002471366855,0.729553874489526,0.729553874489526,0,0,0,0,0,0,0,1.03158512748669e-05,60.7649558563901,9.9291885300298,78.5448545334889,70.7293690389755,0.250127943978848,0.250127943978848,0,0,0,0,0,0,-2.9528600121842e-05,0,0,0,1.46636679087421,-0.022678074425317,0.0223005912249767,-0.0202695750591625,-0.0221990620114643,-0.0208657739022112
0.04,23.1114608067797,0.194851455265632,141.39279716721,0.000591559432985368,0.729552454558388,0.729552454558388,0,0,0,0,0,0,0,1.41993113778049e-06,60.7473593325035,9.93457910005197,78.5604113215466,70.7314766237804,0.250082732697974,0.250082732697974,0,0,0,0,0,0,4.52112808739802e-05,0,0,0,1.46636679001754,-0.0221626636429234,0.0219894201846282,-0.0198580100833419,-0.0215737363210005,-0.0203467248001661
0.05,23.1179765875808,0.198267234764352,141.388741091382,0.00031457780959399,0.729560619804679,0.729560619804679,0,0,0,0,0,0,0,-8.16524629065896e-06,60.7486099836368,9.92396408747558,78.5587482807727,70.7264096947342,0.250249161165132,0.250249161165132,0,0.00263768236502315,2.79670169490528e-06,1.55372316383627e-06,0,0,-0.000166428467158253,0,0,0,1.46636678948999,-0.0218534171734873,0.0216782491442796,-0.0192406626196111,-0.021156852527358,-0.0200352953389391
0.06,23.1308269065118,0.197407329718816,141.382734676574,0.000143264269735706,0.729566299412642,0.729566299412642,0,0,0,0,0,0,0,-5.67960796271638e-06,60.7636985737248,9.91747733349308,78.5440295977347,70.711343838652,0.250164146327059,0.250164146327059,0,0.00196107530437573,2.07930367216006e-06,1.15516870675559e-06,0,0,8.50148380728832e-05,0,0,0,1.46636678919001,-0.0230904030512318,0.0228192096255575,-0.0202695750591625,-0.0223032829598749,-0.0212810131838472
0.07,23.1273083975616,0.198608080051694,141.380618406885,4.53179235679734e-05,0.729569995570437,0.729569995570437,0,0,0,0,0,0,0,-3.69615779483023e-06,60.7806292262243,9.93670017999564,78.5411002205895,70.7056573841136,0.250144018680013,0.250144018680013,0,0.00104204357040416,1.10486579360699e-06,6.13814329781661e-07,0,0,2.01276470462308e-05,0,0,0,1.46636678903727,-0.0230904030512318,0.0227154859454413,-0.0203724663031176,-0.0221990620114643,-0.0213848230042562
0.08,23.1037742527365,0.202436663848652,141.390080181899,-4.96757031477525e-06,0.729577678585747,0.729577678585747,0,0,0,0,0,0,0,-7.68301530984505e-06,60.7995412127153,9.96807550307897,78.5438291050086,70.7030903212301,0.250261931675652,0.250261931675652,0,0.00231520281028708,2.45478064737431e-06,1.36376702631906e-06,0,0,-0.000117912995639013,0,0,0,1.46636678897333,-0.0232965673641893,0.0228192096255575,-0.020681140034983,-0.0224075039082856,-0.0213848230042562
0.09,23.0750853297554,0.204920353012859,141.386015434942,-2.63751269613506e-05,0.729580481586254,0.729580481586254,0,0,0,0,0,0,0,-2.80300050758964e-06,60.8106551241275,10.0037249090126,78.5429091073091,70.7003939473057,0.250147268830386,0.250147268830386,0,0,0,0,0,0,0.000114662845265845,0,0,0,1.46636678895856,-0.0228842387382744,0.022508038585209,-0.0205782487910279,-0.0220948410630537,-0.0209695837226202
