time,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,49.5736520663812,0.203952867427638,141.000285535181,0.0041743679001737,0.450208547134418,0.450208547134418,0,0,0,0,0,0,0,-1.07506792599854e-05,57.8875931559784,23.3947006591425,81.2355797632502,23.4701133861693,0.379892779288691,0.379892779288691,0,0,0,0,0,0,-3.08981665630981e-06,0,0,0,1.36080589585246,0,0,0,0,0
0.01,49.5957452727133,0.205675728000445,141.003755791661,0.00327281722184514,0.450212042208616,0.450212042208616,0,0,0,0,0,0,0,-3.49507419827866e-06,57.8922135256229,23.4012287068523,81.2352091732583,23.4856154436934,0.379895132397045,0.379895132397045,0,0,0,0,0,0,-2.35310835400293e-06,0,0,0,1.36080589585246,0,0,0,0,0
0.02,49.6154815986091,0.206724676866545,141.002093335054,0.00236402296217143,0.45021722974697,0.45021722974697,0,0,0,0,0,0,0,-5.18753835410113e-06,57.8897045217048,23.4117905889918,81.224398591509,23.5022087935502,0.379903044390186,0.379903044390186,0,0,0,0,0,0,-7.91199314087443e-06,0,0,0,1.36080589585246,0,0,0,0,0
0.03,49.6082207292202,0.207312529511115,141.00605136213,0.00159394912222085,0.450206036723085,0.450206036723085,0,0,0,0,0,0,0,1.11930238851365e-05,57.8977862443471,23.4053260539155,81.2182957614756,23.5014420577616,0.379905921803934,0.379905921803934,0,0,0,0,0,0,-2.87741374749295e-06,0,0,0,1.36080589585246,0,0,0,0,0
0.04,49.5882776903739,0.209511462123145,141.019495925218,0.00100532488836327,0.450183926315356,0.450183926315356,0,0,0,0,0,0,0,2.21104077285372e-05,57.9111842920947,23.3904535718914,81.2209416172663,23.5045744434967,0.379893626218524,0.379893626218524,0,0,0,0,0,0,1.22955854097717e-05,0,0,0,1.36080589585246,0,0,0,0,0
0.05,49.5868234087994,0.210171446352942,141.036932250434,0.000588665215302249,0.450165891502146,0.450165891502146,0,0,0,0,0,0,0,1.8034813210388e-05,57.9153039550512,23.3894447286883,81.2384714905628,23.5089377657162,0.379895311189786,0.379895311189786,0,0,0,0,0,0,-1.68497126190603e-06,0,0,0,1.36080589585246,0,0,0,0,0
0.06,49.6032839279296,0.210049466314211,141.066750723966,0.000312932086481619,0.450152470912883,0.450152470912883,0,0,0,0,0,0,0,1.34205892626804e-05,57.9280311927999,23.4156785065053,81.2579236734759,23.5188816097379,0.379915403194487,0.379915403194487,0,0,0,0,0,0,-2.0092004701544e-05,0,0,0,1.36080589585246,0,0,0,0,0
0.07,49.6155456086847,0.209601573454235,141.072593375795,0.000142426309577771,0.450143181612161,0.450143181612161,0,-0.00110075420284517,-1.32791858575352e-06,-8.09200388193553e-07,0,0,0,9.2893007226369e-06,57.9349430119228,23.4422084963576,81.2637485189174,23.5411722033183,0.379927975188694,0.379927975188694,0,0,0,0,0,0,-1.25719942066227e-05,0,0,0,1.36080589585246,0,0,0,0,0
0.08,49.610696195538,0.205267268955212,141.053602766413,4.49671600116944e-05,0.450137165418956,0.450137165418956,0,-0.00108734116624021,-1.3117374796055e-06,-7.99340026634603e-07,0,0,0,6.01619320511615e-06,57.9267723032839,23.4628199878746,81.2645583984528,23.5558972151906,0.379935266531211,0.379935266531211,0,0,0,0,0,0,-7.29134251736818e-06,0,0,0,1.36080589585246,0,0,0,0,0
0.09,49.6123995796394,0.199895324667234,141.032341455167,-5.04863395607956e-06,0.450133532626061,0.450133532626061,0,0,0,0,0,0,0,3.63279289450347e-06,57.9170364894706,23.4890396297188,81.2554043153024,23.5764229953646,0.379939089726391,0.379939089726391,0,0,0,0,0,0,-3.82319517960861e-06,0,0,0,1.36080589585246,0,0,0,0,0
