time,MainPaCyl,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,49.0946367984257,0.19407059454686,141.18248965562,-2.63751269613506e-05,0.450779983887675,0.450779983887675,0,0,0,0,0,0,0,-1.01063447857652e-05,62.1231998796089,53.4766197928953,84.424183872657,34.6900192676744,0.380294959573439,0.380294959573439,0,0,0,0,0,0,-7.89537928284623e-05,0,0,0,1.37572931625502,-0.0228842387382744,0.0227154859454413,-0.0207840312789382,-0.0223032829598749,-0.0209695837226202
0.01,49.0981249127163,0.195475730112458,141.16533983318,-3.17003031465482e-05,0.450797301731558,0.450797301731558,0,0,0,0,0,0,0,-1.73178438837018e-05,62.1118041535591,53.4530565690104,84.4306963060776,34.7064923159398,0.380393002763452,0.380393002763452,0,0.00103606579999393,1.0985276382401e-06,6.10293132355608e-07,0,0,-9.80431900127199e-05,0,0,0,1.37572931625502,-0.0228842387382744,0.0227154859454413,-0.0207840312789382,-0.0224075039082856,-0.0208657739022112
0.02,49.0958594017317,0.197977331462811,141.171286544808,-2.90992173949956e-05,0.450809657541065,0.450809657541065,0,0,0,0,0,0,0,-1.23558095068699e-05,62.0933496039733,53.4298118870373,84.4424305075631,34.7040962075927,0.380309119414046,0.380309119414046,0,0,0,0,0,0,8.38833494060109e-05,0,0,0,1.37572931625502,-0.0227811565817957,0.0228192096255575,-0.0207840312789382,-0.0224075039082856,-0.0208657739022112
0.03,49.0933157652974,0.200571988997671,141.176962143031,-2.34076680700853e-05,0.45081245586445,0.45081245586445,0,0,0,0,0,0,0,-2.79832338456742e-06,62.0746629108198,53.4122438715518,84.4336666988881,34.7013753607378,0.38025810027246,0.38025810027246,0,0,0,0,0,0,5.10191415851735e-05,0,0,0,1.37572931625502,-0.0227811565817957,0.0227154859454413,-0.020681140034983,-0.0223032829598749,-0.0208657739022112
0.04,49.0891403557848,0.20280252027308,141.147318641366,-1.72415541460773e-05,0.450810600951572,0.450810600951572,0,0,0,0,0,0,0,1.85491287729711e-06,62.0568856040547,53.413267518115,84.4229476691367,34.7065612967459,0.380367075600119,0.380367075600119,0,0,0,0,0,0,-0.000108975327658523,0,0,0,1.37572931625502,-0.0221626636429234,0.021885696504512,-0.0201666838152073,-0.0215737363210005,-0.0201391051593481
0.05,49.0658342277986,0.204524102108846,141.121973629036,-1.18289783571525e-05,0.450806982938726,0.450806982938726,0,0,0,0,0,0,0,3.61801284620711e-06,62.0480044145877,53.4223329658419,84.4321028594059,34.7068002999976,0.380379582420567,0.380379582420567,0,0.00126085329607406,1.33686701511775e-06,7.4270389728764e-07,0,0,-1.2506820447622e-05,0,0,0,1.37572931625502,-0.022678074425317,0.0223005912249767,-0.0207840312789382,-0.0220948410630537,-0.0207619640818021
0.06,49.0529784073619,0.205752322977765,141.119639322578,-7.59404294807778e-06,0.450803152123246,0.450803152123246,0,0,0,0,0,0,0,3.83081547983277e-06,62.036809434587,53.431624092912,84.4543147056704,34.7162573928016,0.38025380933631,0.38025380933631,0,0,0,0,0,0,0.000125773084256209,0,0,0,1.37572931625502,-0.0228842387382744,0.0228192096255575,-0.0208869225228933,-0.0223032829598749,-0.0209695837226202
0.07,49.0658031441246,0.206571102168334,141.129726926311,-4.53994077138118e-06,0.450810703717731,0.450810703717731,0,0,0,0,0,0,0,-7.55159448495579e-06,62.0263419240144,53.4262198649717,84.478817886477,34.7435545253487,0.3802679638768,0.3802679638768,0,-0.00110333907864657,-1.16985665606443e-06,-6.49920364480237e-07,0,0,-1.41545404897525e-05,0,0,0,1.37572931625502,-0.0232965673641893,0.0229229333056737,-0.0212984874987139,-0.0226159458051068,-0.0210733935430292
0.08,49.0879540855164,0.208987687431446,141.132281415934,-2.48368325711692e-06,0.450816658344185,0.450816658344185,0,0,0,0,0,0,0,-5.95462645408551e-06,62.0387991061973,53.4170830332936,84.4947866357209,34.7782716349469,0.38037289338536,0.38037289338536,0,0,0,0,0,0,-0.000104929508560225,0,0,0,1.37572931625502,-0.0228842387382744,0.022508038585209,-0.0207840312789382,-0.0221990620114643,-0.0206581542613931
0.09,49.1031350385866,0.209825480275544,141.125394923489,-1.18872370790143e-06,0.450820978608069,0.450820978608069,0,0,0,0,0,0,0,-4.32026388308415e-06,62.0670493059719,53.4172578151261,84.5102156604105,34.8013092274366,0.380326444857894,0.380326444857894,0,0,0,0,0,0,4.6448527465992e-05,0,0,0,1.37572931625502,-0.0221626636429234,0.0220931438647443,-0.0200637925712522,-0.0214695153725899,-0.0201391051593481
0.1,49.1166831480138,0.209835965464272,141.105887509759,-4.3182719529041e-07,0.450829342268904,0.450829342268904,0,0,0,0,0,0,0,-8.36366083545315e-06,62.0749795665579,53.4138879348131,84.5210909255204,34.8079717666127,0.380264229097582,0.380264229097582,0,0,0,0,0,0,6.22157603127893e-05,0,0,0,1.37572931625502,-0.0225749922688383,0.0224043149050928,-0.0202695750591625,-0.021990620114643,-0.0207619640818021
0.11,49.1293015711792,0.203760981434217,141.089577532211,-3.04912554005422e-08,0.450832744568579,0.450832744568579,0,0,0,0,0,0,0,-3.40229967515926e-06,62.0708010845455,53.4342623336409,84.5149150248921,34.8006512238859,0.380354805326789,0.380354805326789,0,0,0,0,0,0,-9.05762292074952e-05,0,0,0,1.37572931625502,-0.0224719101123595,0.0221968675448605,-0.0201666838152073,-0.0217821782178218,-0.0205543444409841
0.12,49.139539392829,0.195950072216927,141.096287926686,1.51318277464836e-07,0.450827987845332,0.450827987845332,0,0,0,0,0,0,0,4.75672324740106e-06,62.073371110239,53.4676486784491,84.5136192116103,34.7997429894075,0.380423624941176,0.380423624941176,0,0.001837320919023,1.94808844175271e-06,1.08227135652928e-06,0,0,-6.88196143868725e-05,0,0,0,1.37572931625502,-0.0232965673641893,0.0228192096255575,-0.0210927050108036,-0.0226159458051068,-0.0210733935430292
0.13,49.1452220081354,0.190499393877645,141.110199510573,2.07893343558312e-07,0.450820374597756,0.450820374597756,0,0,0,0,0,0,0,7.61324757597714e-06,62.0842357550289,53.4958427740105,84.4994282714577,34.8208682451596,0.38031581645405,0.38031581645405,0,0,0,0,0,0,0.000107808487125827,0,0,0,1.37572931625502,-0.0231934852077105,0.0228192096255575,-0.0210927050108036,-0.0225117248566962,-0.0209695837226202
