Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\MainValveSpeedTest_010425.csv,
Starttime of export,133879783447100000,tirsdag 1. april 2025,12:52:24.710
Endtime of export,133879783750500000,tirsdag 1. april 2025,12:52:55.050


Name,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch

0,0.0044117213012313024,58.613283763687051,0.20263268022348252,142.87420898024473,0.26132727975701936,0.26132727975701936,0,0,0,0,0,0,0,0,52.030698092882709,55.892316280146645,63.512963282438129,56.029880688446447,0.82467220830650867,0.82467220830650867,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022574992268838263,0.022300591224976664,-0.020372466303117606,-0.021782178217821781,-0.020761964081802139
10,0.0044044086788261405,58.615027222176288,0.20278083964617336,142.87446947944548,0.261327226569283,0.261327226569283,0,0,0,0,0,0,0,0,52.030911881109766,55.892597623086495,63.513830980597582,56.030034043955276,0.82466861019568549,0.82466861019568549,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.02247191011235955,0.022300591224976664,-0.020269575059162465,-0.021990620114643044,-0.020761964081802139
20,0.0043803579304150251,58.616153278238613,0.20283818077952237,142.87475891078023,0.26132727192042043,0.26132727192042043,0,0,0,0,0,0,0,0,52.03066126305162,55.893066889244849,63.515253181240382,56.030229661292132,0.82466843857544092,0.82466843857544092,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022884238738274405,0.022922933305673684,-0.020989813766848442,-0.022407503908285567,-0.020969583722620162
30,0.0043411513152358753,58.617483433692577,0.20281254715037253,142.87560368266134,0.26132754437974026,0.26132754437974026,0,0,0,0,0,0,0,0,52.030325844453223,55.893753720514425,63.5169822263571,56.030125662614338,0.82466965121224645,0.82466965121224645,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023296567364189259,0.023234104346022195,-0.02129848749871386,-0.022824387701928087,-0.021384823004256204
40,0.0042882903296389144,58.6188979157039,0.20266322000089729,142.87690292090386,0.26132774768275224,0.26132774768275224,0,0,0,0,0,0,0,0,52.030107256265467,55.89444330147375,63.518453902586494,56.030182817756042,0.82466737911388832,0.82466737911388832,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023193485207710546,0.023026656985789856,-0.020784031278938162,-0.022615945805106827,-0.021384823004256204
50,0.0042231969558177915,58.619805332279313,0.20244997286614386,142.87861111350395,0.26132788717191591,0.26132788717191591,0,0,0,0,0,0,0,0,52.029995980163172,55.89522905123227,63.519685269180449,56.030531160022093,0.82466367933678675,0.82466367933678675,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022678074425316979,0.022508038585209004,-0.020269575059162465,-0.022199062011464304,-0.02086577390221115
60,0.0041954080119609247,58.6204881222216,0.20232390608770681,142.88049240646689,0.26132796796689928,0.26132796796689928,0,0,0,0,0,0,0,0,52.029790148352227,55.895713779252169,63.520789204047034,56.030757896818457,0.824663118470137,0.824663118470137,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022678074425316979,0.022508038585209004,-0.020681140034983024,-0.022303282959874934,-0.02086577390221115
70,0.0042499113185834707,58.621397285867062,0.20227777071492625,142.88257218435126,0.26132799496416392,0.26132799496416392,0,0,0,0,0,0,0,0,52.029739939915288,55.896018705787796,63.521628093615611,56.031017517296881,0.82466304921038047,0.82466304921038047,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022781156581795692,0.022715485945441344,-0.020784031278938162,-0.022407503908285567,-0.02086577390221115
80,0.0044273723070137492,58.62217176865493,0.20225645346691495,142.88463182802377,0.26132797283746834,0.26132797283746834,0,0,0,0,0,0,0,0,52.029976303434076,55.896833304354956,63.522463141879911,56.03140246034674,0.82465963518544616,0.82465963518544616,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023502731677146685,0.023234104346022195,-0.02129848749871386,-0.02313705054715998,-0.021800062285892246
90,0.004619778860677928,58.622772287576922,0.20225783322033294,142.88661680251758,0.26132790603920525,0.26132790603920525,0,0,0,0,0,0,0,0,52.030231877177414,55.897964492088548,63.52338777932777,56.031466334317265,0.82465587376310967,0.82465587376310967,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023296567364189259,0.023026656985789856,-0.020989813766848442,-0.02303282959874935,-0.021592442645074223
100,0.0047768504625426552,58.623742051784369,0.20227988772572411,142.88857409929435,0.26132779880249452,0.26132779880249452,0,0,0,0,0,0,0,0,52.03060033100197,55.899138707373922,63.524342202053283,56.031141030693874,0.82465560362425094,0.82465560362425094,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.02247191011235955,0.022196867544860492,-0.020269575059162465,-0.021990620114643044,-0.020554344440984116
110,0.00490110679986812,58.624803458037711,0.20232069280533524,142.89045025773478,0.2613277926482368,0.2613277926482368,0,0,0,0,0,0,0,0,52.031166565847549,55.900106526775069,63.525127223902636,56.0308479583214,0.82465661912682953,0.82465661912682953,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.02247191011235955,0.022196867544860492,-0.020372466303117606,-0.021782178217821781,-0.020346724800166097
120,0.0049949732158754831,58.625703208483017,0.20237842123504332,142.89224508082486,0.26132801612305923,0.26132801612305923,0,0,0,0,0,0,0,0,52.031718000356221,55.900930662247667,63.525706605400572,56.030778181803583,0.8246550090602538,0.8246550090602538,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022574992268838263,0.022300591224976664,-0.020372466303117606,-0.021990620114643044,-0.020554344440984116
130,0.0050607795180660506,58.626307536709128,0.2023549555459343,142.89376593856198,0.26132817293185362,0.26132817293185362,0,0,0,0,0,0,0,0,52.0322537726751,55.901620627652775,63.526096331960794,56.030478398973983,0.8246527515238673,0.8246527515238673,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023502731677146685,0.023234104346022195,-0.021401378742668998,-0.022928608650338717,-0.021488632824665212
140,0.0051007592695903239,58.626447535856691,0.202257603096139,142.89493478496334,0.26132813087506956,0.26132813087506956,0,0,0,0,0,0,0,0,52.0328695451623,55.901751885067988,63.5265526817906,56.030018424048606,0.824653705925178,0.824653705925178,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023296567364189259,0.022922933305673684,-0.02109270501080358,-0.022615945805106827,-0.021281013183847192
150,0.0051170495235417987,58.625826562136751,0.20218969941923282,142.89582647740991,0.26132804529375159,0.26132804529375159,0,0,0,0,0,0,0,0,52.033555778217824,55.901373561793719,63.52687516171143,56.0295106930272,0.824655844649969,0.824655844649969,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022368827955880837,0.022196867544860492,-0.020269575059162465,-0.021990620114643044,-0.020346724800166097
160,0.005111690961867232,58.624755649815036,0.20214889583917478,142.89651031579106,0.26132792039324937,0.26132792039324937,0,0,0,0,0,0,0,0,52.033966151451736,55.90106255342058,63.526640657904053,56.028865068049434,0.82465494497601677,0.82465494497601677,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022781156581795692,0.022715485945441344,-0.020681140034983024,-0.022303282959874934,-0.02086577390221115
170,0.0050866284023917043,58.623905514854783,0.20213294539088406,142.89700206984668,0.26132789766474224,0.26132789766474224,0,0,0,0,0,0,0,0,52.034123557033332,55.901006877909786,63.5261405529148,56.028096350874684,0.82465301888121789,0.82465301888121789,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022678074425316979,0.022300591224976664,-0.020372466303117606,-0.022199062011464304,-0.020658154261393127
180,0.0050437116392470036,58.623067124100963,0.20213970265310469,142.89697951608372,0.26132783061491321,0.26132783061491321,0,0,0,0,0,0,0,0,52.034531780648322,55.900894909388263,63.5255931933721,56.02717032106267,0.82465427421750814,0.82465427421750814,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.02309040305123183,0.022715485945441344,-0.020989813766848442,-0.022511724856696197,-0.020969583722620162
190,0.00498469658376002,58.621809007738683,0.20221531609371304,142.89644025083103,0.26132772344675331,0.26132772344675331,0,0,0,0,0,0,0,0,52.035263309388185,55.900539320361275,63.524812167499924,56.026200998662141,0.82465731705378287,0.82465731705378287,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023193485207710546,0.023026656985789856,-0.02129848749871386,-0.022615945805106827,-0.021384823004256204
200,0.0049112466745989177,58.620366200041033,0.20235336880400773,142.89552870259269,0.26132758014816643,0.26132758014816643,0,0,0,0,0,0,0,0,52.036286527156747,55.900155933779658,63.523821321707786,56.02509967148567,0.82465755142147235,0.82465755142147235,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022781156581795692,0.022819209625557516,-0.020784031278938162,-0.022303282959874934,-0.02107339354302917
210,0.0048249345276844564,58.618905386919558,0.20249957466794447,142.89404058571904,0.26132754199961911,0.26132754199961911,0,0,0,0,0,0,0,0,52.037764247241881,55.899989697710936,63.523221526586575,56.024026995729422,0.82465570006958078,0.82465570006958078,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.02309040305123183,0.023026656985789856,-0.020989813766848442,-0.022615945805106827,-0.021384823004256204
220,0.0047754366965181132,58.617337549556169,0.20255624622082333,142.8924667436853,0.26132746230404813,0.26132746230404813,0,0,0,0,0,0,0,0,52.039361092435946,55.899781008450283,63.522932209286978,56.023225624741769,0.82465669684218623,0.82465669684218623,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022574992268838263,0.022300591224976664,-0.020372466303117606,-0.022199062011464304,-0.020761964081802139
230,0.0047596773567984731,58.615871159042129,0.20262750133852128,142.8914957076864,0.26132734506785033,0.26132734506785033,0,0,0,0,0,0,0,0,52.040819208976174,55.899293497668772,63.5227341520617,56.022433650209663,0.82465996864630842,0.82465996864630842,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022574992268838263,0.022196867544860492,-0.020372466303117606,-0.021990620114643044,-0.020554344440984116
240,0.0047747208005448419,58.61435841143021,0.20271176285568279,142.89093316859044,0.26132733159390908,0.26132733159390908,0,0,0,0,0,0,0,0,52.04224155334952,55.898746637003256,63.522812799246665,56.021797942471608,0.82466071724843582,0.82466071724843582,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023296567364189259,0.023026656985789856,-0.02109270501080358,-0.022511724856696197,-0.021281013183847192
250,0.0047695776769293612,58.61271301219486,0.20280754240296633,142.89069685623585,0.26132713770678373,0.26132713770678373,0,0,0,0,0,0,0,0,52.0437220747934,55.898196051963318,63.522516745369053,56.02116254700428,0.82465916389902749,0.82465916389902749,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023399649520667972,0.023130380665906027,-0.021401378742668998,-0.022824387701928087,-0.021488632824665212
260,0.0047460620213044579,58.611146015818456,0.20291343839268514,142.89056594420811,0.2613267802030031,0.2613267802030031,0,0,0,0,0,0,0,0,52.045490723457505,55.897740632907706,63.521687682668,56.020674523196213,0.82466041851966265,0.82466041851966265,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023296567364189259,0.022922933305673684,-0.02109270501080358,-0.022824387701928087,-0.021384823004256204
270,0.0047058992099373404,58.609319291570955,0.20302813384083893,142.88990507602077,0.26132641253680966,0.26132641253680966,0,0,0,0,0,0,0,0,52.047273950194217,55.897373721532226,63.5205690176619,56.020178123892151,0.82466375252734614,0.82466375252734614,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022678074425316979,0.022404314905092832,-0.020578248791027882,-0.022199062011464304,-0.020658154261393127
280,0.00465072702653626,58.606829393794939,0.20315039404867283,142.888715758442,0.26132617456698087,0.26132617456698087,0,0,0,0,0,0,0,0,52.048774262342327,55.897281673353568,63.51919090004597,56.019531474329554,0.82466375266709591,0.82466375266709591,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.02247191011235955,0.022196867544860492,-0.020372466303117606,-0.022094841063053674,-0.020658154261393127
290,0.0045820969798093039,58.603986044752276,0.20327906416539843,142.88777253696216,0.26132605570846867,0.26132605570846867,0,0,0,0,0,0,0,0,52.05025184052721,55.89777777835252,63.517919175051254,56.019136021452532,0.82466166341867453,0.82466166341867453,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.022678074425316979,0.022300591224976664,-0.020578248791027882,-0.022094841063053674,-0.020761964081802139
300,0.0045014758445480543,58.601072840879446,0.20341306665225861,142.88700907484872,0.26132590834227365,0.26132590834227365,0,0,0,0,0,0,0,0,52.051799257387692,55.898470465781394,63.516556637853675,56.019067391494033,0.82466257793142272,0.82466257793142272,0,0,0,0,0,0,0,0,0,0,2.3709648350939077,-0.023193485207710546,0.022819209625557516,-0.020989813766848442,-0.022511724856696197,-0.02107339354302917
