Name,MainPaCyl,time,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name_2,JibPaCyl,Name_3,JibPaDCV,Name_4,JibPbCyl,Name_5,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_7,JoystickJib,JoystickMain,Name_8,JoystickRotation,JoystickWinch
0,56.8505332591225,0,0.218416777792369,151.538134671612,0.000103456656274069,0.30065888900042,0.300217844134076,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,0,52.6712967242648,0,56.137012332423,0,67.1047821778461,0,70.3307386012441,0.82481810092522,0.823371435484205,0,-0.00152776839431112,-1.61987376283464e-06,-8.99929868241469e-07,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,0,0,0,1.47912968445655,0,0,0,0,0,0,0
5,56.8567795189567,0.01,0.21053119116228,151.549382296425,5.51087001832641e-06,0.30065888900042,0.300203079235351,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,5,52.7017184907568,10,56.0831948729831,5,67.1082848314748,10,70.3097180470438,0.82481810092522,0.823359866838216,0,-0.00144323687923986,-1.53024605230831e-06,-8.50136695726839e-07,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,5,0,0,1.47912968445655,0,10,0,0,5,0,0
10,56.8641764004644,0.02,0.206035271656971,151.539794943939,0.00189039281213624,0.30065888900042,0.300193236744998,0,-0.0010256555778021,-1.2373217388812e-06,-7.53992934630733e-07,0,0,0,0.000298092553797424,0.00264354380932035,0,0,10,52.7166772844846,20,56.0183340015411,10,67.1034574383503,20,70.2776095524744,0.82481810092522,0.823356121943092,0,-0.00118422587918587,-1.25561992125642e-06,-6.97566622920235e-07,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,10,0,0,1.47912968445655,0,20,0,0,10,0,0
15,56.8671132109993,0.03,0.207701166583235,151.537734068867,0.0110051041725265,0.30065888900042,0.300200970379093,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,15,52.7224786952214,30,56.0250904735473,15,67.0938028207324,30,70.2910912417535,0.82481810092522,0.823378278797714,0,0,0,0,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,15,0,0,1.47912968445655,0,30,0,0,15,0,0
20,56.8771553139547,0.04,0.213147541644621,151.553830047289,0.0141317059176764,0.30065888900042,0.300216670683632,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,20,52.7195218379525,40,56.0651952834133,20,67.0835263385924,40,70.2940173851147,0.82481810092522,0.823431126773124,0,0.00195217262579206,2.06986427315801e-06,1.14992459619889e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,20,0,0,1.47912968445655,0,40,0,0,20,0,0
25,56.8925763131947,0.05,0.21946062622053,151.56452876097,0.00956513391270132,0.30065888900042,0.300224198001399,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,25,52.7131630370238,50,56.0734077758079,25,67.080299150168,50,70.2715145998268,0.82481810092522,0.823464032372742,0,0.00338742288967353,3.59164221687009e-06,1.99535678715005e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,25,0,0,1.47912968445655,0,50,0,0,25,0,0
30,56.9079620759892,0.06,0.218898995681063,151.586800378995,0.0046044670966053,0.30065888900042,0.300219091872903,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,30,52.7101090385236,60,56.0453690706646,30,67.0768731093553,60,70.2379057092806,0.82481810092522,0.823440548694526,0,0.00213559016508214,2.26433960112397e-06,1.25796644506887e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,30,0,0,1.47912968445655,0,60,0,0,30,0,0
35,56.9133045204863,0.07,0.213948051718429,151.616143664714,0.00167890599144747,0.30065888900042,0.300223729589629,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,35,52.7032709829676,70,56.0232771679098,35,67.0796132184118,70,70.2024921537141,0.82481810092522,0.823390605787949,0,0,0,0,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,35,0,0,1.47912968445655,0,70,0,0,35,0,0
40,56.9038506731656,0.08,0.212156852118681,151.653722358031,0.000394835629096331,0.30065888900042,0.300229138594516,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,40,52.6939251336547,80,56.0242927785658,40,67.0846456135713,80,70.2262451119321,0.82481810092522,0.823351379650593,0,-0.00287437837477,-3.0476675202125e-06,-1.69314862234028e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,40,0,0,1.47912968445655,0,80,0,0,40,0,0
45,56.8836269194501,0.09,0.215033614684396,151.677501525091,-2.31430412220758e-05,0.30065888900042,0.300223916378488,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,45,52.6792135447447,90,56.0342933228749,45,67.0899033923852,90,70.2436032026293,0.82481810092522,0.823335310252326,0,-0.00330533014751211,-3.50460030682561e-06,-1.94700017045867e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,45,0,0,1.47912968445655,0,90,0,0,45,0,0
50,56.8656227445072,0.1,0.217594147873229,151.692327140837,0.00426121484699135,0.30065888900042,0.300201621397737,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,50,52.6625259266461,100,56.0365458961601,50,67.0906269733946,100,70.2541911688937,0.82481810092522,0.823337726094761,0,-0.00203254916900164,-2.15508651887101e-06,-1.19727028826167e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,50,0,0,1.47912968445655,0,100,0,0,50,0,0
55,56.870472126157,0.11,0.21709680813645,151.680217983615,0.00657147107951806,0.30065888900042,0.300193973711949,0,-0.00119196587115411,-1.43795375007264e-06,-8.76253066450518e-07,0,0,0,0.000298092553797424,0.00264354380932035,0,0,55,52.6418536344179,110,56.0394499186807,55,67.0835184465195,110,70.2563959729599,0.82481810092522,0.823353985813002,0,0,0,0,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,55,0,0,1.47912968445655,0,110,0,0,55,0,0
60,56.892271166243,0.12,0.212925583365235,151.644539659414,0.0042235365659947,0.30065888900042,0.300204220158104,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,60,52.6283705367913,120,56.0644291232917,60,67.0797837345898,120,70.2338071923737,0.82481810092522,0.823396660286284,0,0.00139696368570696,1.48118316266769e-06,8.22879534815385e-07,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,60,0,0,1.47912968445655,0,120,0,0,60,0,0
65,56.9143308111187,0.13,0.20981511007821,151.597908251759,0.00387489541637913,0.30065888900042,0.300206597886959,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,65,52.6201644289786,130,56.0977987653079,65,67.0800268663994,130,70.2145096343703,0.82481810092522,0.82341335888427,0,0.00256231768857162,2.71679346897068e-06,1.50932970498371e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,65,0,0,1.47912968445655,0,130,0,0,65,0,0
70,56.9273417532813,0.14,0.208235226758463,151.556921159708,0.00299842158939465,0.30065888900042,0.300213421158663,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,70,52.6250991476474,140,56.1135665202753,70,67.0896120011508,140,70.2230219476797,0.82481810092522,0.823380113251573,0,0,0,0,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,70,0,0,1.47912968445655,0,140,0,0,70,0,0
75,56.9190788066605,0.15,0.209532072172679,151.576357666708,0.00155139540942789,0.30065888900042,0.300225193949764,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,75,52.6445917480936,150,56.1226378820063,75,67.1132592663132,150,70.2755913541726,0.82481810092522,0.823346860672386,0,-0.00133293905081189,-1.41329864127833e-06,-7.85165911821296e-07,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,75,0,0,1.47912968445655,0,150,0,0,75,0,0
80,56.906533859502,0.16,0.214127193266791,151.627018161955,0.0006093458744085,0.30065888900042,0.300225929087213,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,80,52.6579311310043,160,56.1224861290773,80,67.1356046965542,160,70.2867795697463,0.82481810092522,0.82333046023177,0,-0.00218705616346426,-2.31890835694307e-06,-1.28828242052393e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,80,0,0,1.47912968445655,0,160,0,0,80,0,0
85,56.8902463425089,0.17,0.217408008856764,151.655775322756,0.00016660909787902,0.30065888900042,0.300229642263197,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,85,52.6626604058408,170,56.0936492226573,85,67.1519801094988,170,70.2454526273343,0.82481810092522,0.823312091417493,0,-0.00203089864797334,-2.15333649202225e-06,-1.19629805112347e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,85,0,0,1.47912968445655,0,170,0,0,85,0,0
90,56.8653197899693,0.18,0.219036373947076,151.672853499661,9.52087390880706e-06,0.30065888900042,0.300241742776227,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,90,52.6552276858347,180,56.0421581916499,90,67.165070998569,180,70.2022060400625,0.82481810092522,0.823301879069717,0,-0.0018034561125404,-1.91218201005213e-06,-1.06232333891785e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,90,0,0,1.47912968445655,0,180,0,0,90,0,0
95,56.8404746463359,0.19,0.215294096359972,151.664051634976,0.00433074545826992,0.30065888900042,0.300244885218864,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,95,52.6454967119983,190,56.0273926016195,95,67.1689498097596,190,70.2008284671441,0.82481810092522,0.823314271578409,0,0,0,0,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,95,0,0,1.47912968445655,0,190,0,0,95,0,0
100,56.8176389058394,0.2,0.21125880330978,151.617880344113,0.00852486577495903,0.30065888900042,0.300223129913664,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,100,52.6458028908627,200,56.0562699953782,100,67.1586275868907,200,70.2249357368238,0.82481810092522,0.823354687452813,0,0,0,0,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,100,0,0,1.47912968445655,0,200,0,0,100,0,0
105,56.8068807579256,0.21,0.208884347097097,151.567885129049,0.00655292661654714,0.30065888900042,0.300215819396833,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,105,52.6600205613462,210,56.0721348460304,105,67.1436525256044,210,70.2426746060137,0.82481810092522,0.823407159407156,0,0.00301367769100125,3.19536484683873e-06,1.77520269268818e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,105,0,0,1.47912968445655,0,210,0,0,105,0,0
110,56.8088494447743,0.22,0.207843934641168,151.541379573586,0.00337952646515372,0.30065888900042,0.300229259689104,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,110,52.6800613217141,220,56.0799087218075,110,67.1213382048985,220,70.2616663456248,0.82481810092522,0.823411694882481,0,0.00320715109432967,3.40050228195327e-06,1.88916793441848e-06,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,110,0,0,1.47912968445655,0,220,0,0,110,0,0
115,56.8180313962175,0.23,0.209412343340473,151.562155406841,0.00322954376378039,0.30065888900042,0.300237977029861,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,115,52.6938225177442,230,56.0970780832207,115,67.1088022093438,230,70.2490890096793,0.82481810092522,0.823399575488992,0,0.00156346939402852,1.65772708730746e-06,9.20959492948588e-07,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,115,0,0,1.47912968445655,0,230,0,0,115,0,0
120,56.8289616169555,0.24,0.214111283147101,151.564596326199,0.00457275223557933,0.30065888900042,0.30022723663538,0,0,0,0,0,0,0,0.000298092553797424,0.00264354380932035,0,0,120,52.7064771555206,240,56.115666665994,120,67.1063500707645,240,70.2003322257415,0.82481810092522,0.823389374218511,0,0,0,0,0,0,0.000970274947902028,0,-0.000331522568437756,0,0,120,0,0,1.47912968445655,0,240,0,0,120,0,0
