Name,MainPaCyl,time,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name_2,JibPaCyl,Name_3,JibPaDCV,Name_4,JibPbCyl,Name_5,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_7,JoystickJib,JoystickMain,Name_8,JoystickRotation,JoystickWinch
0,17.3749291367113,0,0.230699860377778,148.738405455714,0.0063489848887235,0.730347222978613,0.730347222978613,0,-0.00147201252785578,-1.77579407750548e-06,-1.0821245159799e-06,-0.0178707706576723,0,0,1.93718760815864e-05,-0.0141721549119541,-0.125269575059162,0,0,67.950760466786,0,45.0979353100021,0,90.9964326772873,0,67.2588969603522,0.0810006463988401,0.0810006463988401,0,0.0141566582787256,1.50101281061411e-05,8.33896005896727e-06,0.0275208946339214,0,0.00121810108382825,0,0.0902168950468459,0.0594043149050928,0,0,0,0,1.47794595705918,-0.0227811565817957,0,0.0224043149050928,-0.0202695750591625,0,-0.0224075039082856,-0.0209695837226202
5,17.4090248060075,0.01,0.225724766021677,148.70590523689,0.00992166671085081,0.730328030503409,0.730328030503409,0,-0.00187240781031051,-2.25881956661592e-06,-1.37646817340658e-06,-0.0182353189338188,0,0,1.91924752037664e-05,-0.0141721549119541,-0.125681140034983,0,5,67.9277798213245,10,45.1045934091359,5,90.9950056577602,10,67.2724813118693,0.0797685289436637,0.0797685289436637,0,-0.0587131705520836,-6.22528420304443e-05,-3.45849122391357e-05,0.0280358376997397,0,0.00123211745517646,0,0.0902168950468459,0.0598192096255575,0,5,0,0,1.47794595705918,-0.0227811565817957,10,0.0228192096255575,-0.020681140034983,5,-0.0223032829598749,-0.0209695837226202
10,17.4314933055142,0.02,0.222205925661454,148.71568764281,0.0148805199163192,0.730314643938119,0.730314643938119,0,-0.0018357423823403,-2.21458743638158e-06,-1.34951421904503e-06,-0.0183252211211444,0,0,1.33865652899301e-05,-0.0141721549119541,-0.125784031278938,0,10,67.8976756934634,20,45.0657765833458,10,90.9846857477093,20,67.2766990330084,0.0800571995948901,0.0800571995948901,0,-0.0629860790839132,-6.6783353623351e-05,-3.71018631240839e-05,0.0280292642260616,0,-0.000288670651226453,0,0.0902168950468459,0.0598192096255575,0,10,0,0,1.47794595705918,-0.0225749922688383,20,0.0228192096255575,-0.0207840312789382,10,-0.021990620114643,-0.0206581542613931
15,17.4586678949618,0.03,0.220468489763752,148.71940293999,0.0190634438441451,0.73034537045068,0.73034537045068,0,0,0,0,-0.0181434501743716,0,0,-3.07265125609746e-05,-0.0141721549119541,-0.125578248791028,0,15,67.8653174995685,30,45.0150425377239,15,90.977773176354,30,67.2820888339853,0.0814201222989764,0.0814201222989764,0,0.00651350722352539,6.90619042435436e-06,3.83677245797464e-06,0.0275124157815776,0,-0.00136292270408629,0,0.0902168950468459,0.0594043149050928,0,15,0,0,1.47794595705918,-0.0228842387382744,30,0.0224043149050928,-0.0205782487910279,15,-0.0223032829598749,-0.0212810131838472
20,17.4779561514329,0.04,0.221723665290599,148.696748126636,0.0246051681441674,0.730353943247867,0.730353943247867,0,0,0,0,-0.0179634618899555,0,0,-8.57279718691206e-06,-0.0141721549119541,-0.125372466303118,0,20,67.8465493832791,40,45.0023948362907,20,90.9829746442244,40,67.2596526188284,0.0821178693661052,0.0821178693661052,0,0.0630096964321467,6.68083948029524e-05,3.71157748905291e-05,0.0272589864216684,0,-0.000697747067128801,0,0.0902168950468459,0.0591968675448605,0,20,0,0,1.47794595705918,-0.0224719101123595,40,0.0221968675448605,-0.0203724663031176,20,-0.021990620114643,-0.0207619640818021
25,17.4945659316183,0.05,0.221961559009151,148.682569431916,0.0217900291698128,0.730344317318638,0.730344317318638,0,0,0,0,-0.0176921471795081,0,0,9.62592922870709e-06,-0.0141721549119541,-0.125063792571252,0,25,67.848145021665,50,45.0208598225467,25,90.990801639332,50,67.2382651333046,0.0811529278334661,0.0811529278334661,0,0.0333930636766198,3.54062486904721e-05,1.96701381613734e-05,0.0270084810997537,0,0.000964941532639138,0,0.0902168950468459,0.0589894201846281,0,25,0,0,1.47794595705918,-0.022678074425317,50,0.0219894201846282,-0.0200637925712522,25,-0.0221990620114643,-0.0209695837226202
30,17.5169317992795,0.06,0.219152962851307,148.68104869705,0.0119659612088531,0.730325859059192,0.730325859059192,0,0,0,0,-0.0178735275751159,0,0,1.84582594465743e-05,-0.0141721549119541,-0.125269575059162,0,30,67.8699126283364,60,45.0820649950534,30,91.0042834937023,60,67.2172929168011,0.0799198444523846,0.0799198444523846,0,-0.0399543027671907,-4.23630486177892e-05,-2.35350270098829e-05,0.0273989674263413,0,0.0012330833810815,0,0.0902168950468459,0.0593005912249767,0,30,0,0,1.47794595705918,-0.0225749922688383,60,0.0223005912249767,-0.0202695750591625,30,-0.0220948410630537,-0.0207619640818021
35,17.5288128810599,0.07,0.216106179144357,148.701425138564,0.00686636584803535,0.73031198972139,0.73031198972139,0,-0.00118939311671795,-1.43485005224117e-06,-8.74361750584464e-07,-0.018870053274848,0,0,1.38693378018973e-05,-0.0141721549119541,-0.126401378742669,0,35,67.8895546815747,70,45.134751857346,35,91.0086232194298,70,67.181977100191,0.0801017938565117,0.0801017938565117,0,-0.0556523578834103,-5.90075005549967e-05,-3.27819447527759e-05,0.0285503534316455,0,-0.000181949404127094,0,0.0902168950468459,0.0602341043460222,0,35,0,0,1.47794595705918,-0.0225749922688383,70,0.0232341043460222,-0.021401378742669,35,-0.021990620114643,-0.0206581542613931
40,17.5284944340462,0.08,0.211860525524431,148.730059442592,0.00624136992592584,0.730321295348949,0.730321295348949,0,0,0,0,-0.0185958302680966,0,0,-9.30562755885322e-06,-0.0141721549119541,-0.126092705010804,0,40,67.9013792026444,80,45.1280915106446,40,91.0044396610231,80,67.1987021355862,0.0814239175689917,0.0814239175689917,0,0.00536666258896012,5.69020537027315e-06,3.16122520570731e-06,0.0284180545922357,0,-0.00132212371248003,0,0.0902168950468459,0.060130380665906,0,40,0,0,1.47794595705918,-0.0230904030512318,80,0.023130380665906,-0.0210927050108036,40,-0.0223032829598749,-0.0210733935430292
45,17.5209376428849,0.09,0.209188972350987,148.76508556135,0.00346273156944897,0.730345127775364,0.730345127775364,0,0,0,0,-0.0182306712437264,0,0,-2.38324264154599e-05,-0.0141721549119541,-0.125681140034983,0,45,67.9079085455364,90,45.1382354651404,45,90.9971493810872,90,67.2521809506316,0.082180137950171,0.082180137950171,0,0.0611838089357803,6.48724290765601e-05,3.60402383758667e-05,0.0279049629256702,0,-0.00075622038117934,0,0.0902168950468459,0.0597154859454413,0,45,0,0,1.47794595705918,-0.0224719101123595,90,0.0227154859454413,-0.020681140034983,45,-0.0217821782178218,-0.0203467248001661
50,17.5037425791638,0.1,0.209867349231,148.791119395547,0.00144786324552499,0.730347663393,0.730347663393,0,0,0,0,-0.0177756550531537,0,0,-2.53561763574606e-06,-0.0141721549119541,-0.125166683815207,0,50,67.8996445899708,100,45.1929639225315,50,90.9839081519573,100,67.2938586006682,0.0813374493365225,0.0813374493365225,0,0.0372266004297348,3.94708998695099e-05,2.19282777052833e-05,0.0273990769484337,0,0.000842688613648487,0,0.0902168950468459,0.0593005912249767,0,50,0,0,1.47794595705918,-0.0224719101123595,100,0.0223005912249767,-0.0201666838152073,50,-0.0220948410630537,-0.0206581542613931
