Name,FireDragonCrane,
File,C:\Users\Are-Laptop\Downloads\Main2Test_090525.csv,
Starttime of export,133912742761210000,fredag 9. mai 2025,16:24:36.121
Endtime of export,133912743317510000,fredag 9. mai 2025,16:25:31.751


Name,MainPaCyl,Name,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name,JibPaCyl,Name,JibPaDCV,Name,JibPbCyl,Name,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name,JoystickJib,JoystickMain,Name,JoystickRotation,JoystickWinch

0,34.616677710179317,0,0.21196301054433661,152.05091909307913,-3.2160381225384536E-05,0.50053112755600515,0.50053112755600515,0,0,0,0,0,0,0,1.5530976023026E-06,-0.0027913754692220905,0,0,0,41.645073509019866,0,27.811218316950512,0,80.040432971999763,0,63.942539638788112,0.080065039802889634,0.080065039802889634,0,0,0,0,0,0,1.3190966272697002E-05,0,-0.00060618915372173676,0,0,0,0,0,0.803819879411109,0,0,0,0,0,0,0
5,34.62938778134528,10,0.21091534120853087,151.99167304243332,-1.1627592920091174E-05,0.50050559836280073,0.50050559836280073,0,0,0,0,0,0,0,2.5529193204421041E-05,-0.0027913754692220905,0,0,5,41.659920249096722,10,27.807754176076891,5,80.042007585075353,10,63.9201985760378,0.08004549560255067,0.08004549560255067,0,0,0,0,0,0,1.954420033896398E-05,0,-0.00060618915372173676,0,0,5,0,0,0.803819879411109,0,10,0,0,5,0,0
10,34.6278407260206,20,0.2092685228595563,151.97051167828445,-2.6817253367012854E-06,0.5004814723508636,0.5004814723508636,0,-0.0016483633930164387,-1.9885387491635671E-06,-1.2117658002715488E-06,0,0,0,2.4126011937131153E-05,-0.0027913754692220905,0,0,10,41.678524228615942,20,27.803100429331781,10,80.043005022536533,20,63.9004698826203,0.080036452468238969,0.080036452468238969,0,-0.0012382835251738555,-1.3129365686897663E-06,-7.2940920482764806E-07,0,0,9.0431343117008955E-06,0,-0.00060618915372173676,0,0,10,0,0,0.803819879411109,0,20,0,0,10,0,0
15,34.627870927715449,30,0.208206169277311,151.984171840834,2.0086913456495584E-07,0.50049973544257953,0.50049973544257953,0,-0.0010512496512617986,-1.268197701693273E-06,-7.7280797446933826E-07,0,0,0,-1.826309171593099E-05,-0.0027913754692220905,0,0,15,41.697786822945282,30,27.763072251901473,15,80.047404661030214,30,63.898787524526163,0.080036000262568963,0.080036000262568963,0,0,0,0,0,0,4.5220567000681111E-07,0,-0.00060618915372173676,0,0,15,0,0,0.803819879411109,0,30,0,0,15,0,0
20,34.628592215047767,40,0.21206566092100476,151.94777050779854,6.7634047798283559E-07,0.50052871099927543,0.50052871099927543,0,0,0,0,0,0,0,-2.8975556695898241E-05,-0.0027913754692220905,0,0,20,41.706706789237266,40,27.771894935814331,20,80.05452441814549,40,63.934441674422892,0.080037412449852671,0.080037412449852671,0,0,0,0,0,0,-1.4121872837086213E-06,0,-0.00060618915372173676,0,0,20,0,0,0.803819879411109,0,40,0,0,20,0,0
25,34.621880580495656,50,0.21608092824835645,151.94153383490047,4.8094793920195019E-07,0.50055527460777893,0.50055527460777893,0,0.0017976293445443048,2.168608950795964E-06,1.3214960793912907E-06,0,0,0,-2.656360850350481E-05,-0.0027913754692220905,0,0,25,41.70776492091165,50,27.872088212069993,25,80.057919758160054,50,63.9285178629305,0.0800246138199191,0.0800246138199191,0,0,0,0,0,0,1.2798629933571948E-05,0,-0.00060618915372173676,0,0,25,0,0,0.803819879411109,0,50,0,0,25,0,0
30,34.616750593178089,60,0.218417175567401,151.98467170315504,0.0062623761504256937,0.50056158179819343,0.50056158179819343,0,0.0020013642439309365,2.4143889430620366E-06,1.4712682621784286E-06,0,0,0,-6.3071904145006741E-06,-0.0027913754692220905,0,0,30,41.712814750189615,60,27.929481245505134,30,80.0591418724559,60,63.902555869543583,0.080011800541260891,0.080011800541260891,0,0,0,0,0,0,1.2813278658208027E-05,0,-0.00060618915372173676,0,0,30,0,0,0.803819879411109,0,60,0,0,30,0,0
35,34.605494278351664,70,0.21943210636510296,152.02127937214837,0.015208660827217389,0.50056190205840456,0.50056190205840456,0,0.0012009804205987962,1.4488286463200094E-06,8.8287995635125575E-07,0,0,0,-3.2026021112852021E-07,-0.0027913754692220905,0,0,35,41.720743219830545,70,27.912762134686854,35,80.0630270102016,70,63.89333003316127,0.080026269177599779,0.080026269177599779,0,0,0,0,0,0,-1.4468636338887952E-05,0,-0.00060618915372173676,0,0,35,0,0,0.803819879411109,0,70,0,0,35,0,0
40,34.591386833169636,80,0.2173082704046109,152.04835945406364,0.014606703663372821,0.50056875931149247,0.50056875931149247,0,0,0,0,0,0,0,-6.8572530879107418E-06,-0.0027913754692220905,0,0,40,41.722984627188012,80,27.904630068859813,40,80.073199102877879,80,63.905365056228284,0.080040842624502173,0.080040842624502173,0,0,0,0,0,0,-1.4573446902393927E-05,0,-0.00060618915372173676,0,0,40,0,0,0.803819879411109,0,80,0,0,40,0,0
