Name,FireDragonCrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,C:\Users\Are-Laptop\Documents\Skole\Bachelor\TC3\TestLogs\Scope Project.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starttime of export,1.33873E+17,mandag 24. mars 2025,53:07.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endtime of export,1.33873E+17,mandag 24. mars 2025,53:11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Main Pa DCV,Main Pa Cyl,Main Pb DCV,Ps,Main X Ref,Main Piston Position,Main X Dot Ref,Main Piston Velocity,Main Flow A,Main Flow B,Main FF,Main PID,Main U,Main Error,Jib Pa Cyl,Jib Pa DCV,Jib Pb Cyl,Jib Pb DCV,Jib X Ref,Jib Piston Position,Jib X Dot Ref,Jib Velocity,Jib Flow A,Jib Flow B,Jib FF,Jib PID,Jib Error,Jib U,Winch Pa,Winch Pb,Winch Distance,Joystick Extrude,Joystick Jib,Joystick Main,Joystick Rotation,Joystick Winch
200,0.084913449,49.60454862,0.293723446,147.7244818,0.491340172,0.491340172,0,0,0,0,0,0,0,0,59.90106354,63.25614074,74.63172983,63.30736286,0.505895888,0.505895888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,0.085039901,49.60528219,0.293679391,147.7255157,0.491340492,0.491340492,0,0,0,0,0,0,0,0,59.90215968,63.25520818,74.63080854,63.30587411,0.505897654,0.505897654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0.08510855,49.6059727,0.293684674,147.7262504,0.491340899,0.491340899,0,0,0,0,0,0,0,0,59.90306034,63.25432434,74.62979711,63.30505458,0.50589856,0.50589856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0.085220646,49.60662127,0.293734888,147.7267575,0.491341659,0.491341659,0,0,0,0,0,0,0,0,59.90368295,63.25339199,74.62880391,63.30451067,0.505900735,0.505900735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0.08522731,49.60718086,0.293681266,147.7272,0.491342738,0.491342738,0,0,0,0,0,0,0,0,59.90414615,63.2526119,74.62802402,63.30407546,0.505901212,0.505901212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0.085041495,49.60799453,0.293485053,147.7276782,0.491343829,0.491343829,0,0,0,0,0,0,0,0,59.90446226,63.25216639,74.62720061,63.30354825,0.505902194,0.505902194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0.084777426,49.60922925,0.293207885,147.7277052,0.491344513,0.491344513,0,0,0,0,0,0,0,0,59.90459492,63.25164194,74.62672633,63.30337302,0.505900947,0.505900947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0.08463587,49.61079455,0.292906245,147.7271763,0.491345237,0.491345237,0,0,0,0,0,0,0,0,59.90446351,63.25080667,74.62666842,63.30337461,0.505900359,0.505900359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,0.084702885,49.6124139,0.292679882,147.7265285,0.491346131,0.491346131,0,0,0,0,0,0,0,0,59.904333,63.25007705,74.62655637,63.30305538,0.505898795,0.505898795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0.084815095,49.61397972,0.292571195,147.7255341,0.49134704,0.49134704,0,0,0,0,0,0,0,0,59.90405922,63.2499285,74.62644363,63.30268605,0.505897453,0.505897453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0.084823462,49.6154906,0.292425577,147.7241795,0.49134782,0.49134782,0,0,0,0,0,0,0,0,59.90375239,63.25016539,74.62690902,63.30270628,0.505896793,0.505896793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0.08473718,49.61670447,0.2921505,147.7228395,0.491348481,0.491348481,0,0,0,0,0,0,0,0,59.90346484,63.25060795,74.62765837,63.30288859,0.505895652,0.505895652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0.084565001,49.61769114,0.291854938,147.7214699,0.491348756,0.491348756,0,0,0,0,0,0,0,0,59.90285865,63.25089882,74.62842252,63.30321786,0.505895181,0.505895181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0.084363429,49.61856328,0.291686458,147.7198859,0.491348677,0.491348677,0,0,0,0,0,0,0,0,59.90215728,63.25105032,74.62905256,63.30411347,0.505892954,0.505892954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0.084135872,49.61918306,0.291586238,147.7182092,0.491348826,0.491348826,0,0,0,0,0,0,0,0,59.90132378,63.25112244,74.62922057,63.30484687,0.505892137,0.505892137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0.083885538,49.61971501,0.29154861,147.716551,0.491349182,0.491349182,0,0,0,0,0,0,0,0,59.90046956,63.25092917,74.62935249,63.30538137,0.505889922,0.505889922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0.083711824,49.62006847,0.29156816,147.7150127,0.491349589,0.491349589,0,0,0,0,0,0,0,0,59.89969623,63.25030209,74.62954739,63.3060217,0.505888971,0.505888971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,0.083656801,49.62045067,0.291543345,147.7135897,0.491349903,0.491349903,0,0,0,0,0,0,0,0,59.89895145,63.2493786,74.62965432,63.30656315,0.50588712,0.50588712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,0.083565561,49.62076115,0.291478205,147.7119882,0.491350129,0.491350129,0,0,0,0,0,0,0,0,59.89818743,63.24852603,74.62972887,63.30710876,0.50588588,0.50588588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,0.08339349,49.62066773,0.291376579,147.7102303,0.491350277,0.491350277,0,0,0,0,0,0,0,0,59.89760167,63.24769327,74.62967724,63.30808975,0.5058852,0.5058852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,0.083196641,49.62064039,0.291386691,147.7084333,0.491350076,0.491350076,0,0,0,0,0,0,0,0,59.89708427,63.24750834,74.62989639,63.30922258,0.505883769,0.505883769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410,0.082977994,49.6203842,0.291450377,147.7069451,0.491349559,0.491349559,0,0,0,0,0,0,0,0,59.89658299,63.24757706,74.63098789,63.31015194,0.505883399,0.505883399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,0.082836734,49.61977595,0.291466242,147.7062743,0.491349305,0.491349305,0,0,0,0,0,0,0,0,59.89648392,63.2472983,74.63248439,63.31103682,0.505881625,0.505881625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,0.082814737,49.61909027,0.291534857,147.7062544,0.491349156,0.491349156,0,0,0,0,0,0,0,0,59.89689629,63.2469932,74.63357289,63.31187769,0.505881741,0.505881741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,0.08290149,49.61843315,0.291651263,147.7062495,0.491348964,0.491348964,0,0,0,0,0,0,0,0,59.89762846,63.2467135,74.63481549,63.31253055,0.505880574,0.505880574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
