time,MainPaDCV,MainPaCyl,MainPbDCV,Ps,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,JibPaCyl,JibPaDCV,JibPbCyl,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,WinchPa,WinchPb,WinchDistance,JoystickExtrude,JoystickJib,JoystickMain,JoystickRotation,JoystickWinch
0,0.00267826975058939,22.5069405680947,0.203913772713416,143.035244287963,0.72992196431869,0.72992196431869,0,0,0,0,0,0,0,1.72224152161782e-07,60.9652109585121,31.1288866674067,73.7823649964568,40.151094982764,0.250213633685404,0.250213633685404,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.0232965673641893,0.0230266569857899,-0.0203724663031176,-0.0225117248566962,-0.0209695837226202
0.01,0.00267831988031757,22.5061561394488,0.204127300056631,143.03538849347,0.729922412745559,0.729922412745559,0,0,0,0,0,0,0,1.72224152161782e-07,60.9632942928789,31.1350551705117,73.7820561505833,40.158786014177,0.250213881545752,0.250213881545752,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.023399649520668,0.0234415517062545,-0.020681140034983,-0.0229286086503387,-0.0215924426450742
0.02,0.00266779197256414,22.5055065678993,0.204383463752901,143.035418610878,0.729922683085696,0.729922683085696,0,0,0,0,0,0,0,1.72224152161782e-07,60.9616944122592,31.1406993678546,73.7816763581461,40.1664342497172,0.250226203334905,0.250226203334905,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.0228842387382744,0.0229229333056737,-0.0201666838152073,-0.0225117248566962,-0.0210733935430292
0.03,0.00264766752948791,22.504886048969,0.20467746394198,143.035151887295,0.72992265259193,0.72992265259193,0,0,0,0,0,0,0,1.72224152161782e-07,60.960100326563,31.1460845301124,73.7813780013467,40.174013298102,0.250247581066112,0.250247581066112,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.0232965673641893,0.0230266569857899,-0.0202695750591625,-0.0226159458051068,-0.0212810131838472
0.04,0.00261887872486669,22.5046799940085,0.204956584997004,143.035290452878,0.729922348116043,0.729922348116043,0,0,0,0,0,0,0,1.72224152161782e-07,60.9581804637757,31.1516461508541,73.7810104431749,40.1815475791548,0.250273964851615,0.250273964851615,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.0230904030512318,0.0227154859454413,-0.019960901327297,-0.0223032829598749,-0.0209695837226202
0.05,0.00258230910722716,22.505141545583,0.205124661320294,143.035797747545,0.729921932709748,0.729921932709748,0,0,0,0,0,0,0,1.72224152161782e-07,60.9563568941892,31.1575875584855,73.7803403192718,40.1892522911388,0.250300064503065,0.250300064503065,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.0231934852077105,0.0228192096255575,-0.0202695750591625,-0.0225117248566962,-0.0213848230042562
0.06,0.00253879443246107,22.50577582352,0.205287282344941,143.036060689393,0.729921417870019,0.729921417870019,0,0,0,0,0,0,0,1.72224152161782e-07,60.9549656108686,31.1637551644989,73.7793489675646,40.1970818729769,0.250320112786964,0.250320112786964,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.022678074425317,0.0224043149050928,-0.0201666838152073,-0.0221990620114643,-0.0208657739022112
0.07,0.00253731650960514,22.5060348538472,0.205444290813939,143.036244531683,0.729920676960504,0.729920676960504,0,0,0,0,0,0,0,1.72224152161782e-07,60.9535881512469,31.1695743988197,73.7785025813898,40.2051388977714,0.250328720782421,0.250328720782421,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.0227811565817957,0.0228192096255575,-0.0202695750591625,-0.0224075039082856,-0.0209695837226202
0.08,0.00257414588590821,22.5061437291719,0.205595565601251,143.036596541729,0.729919870498508,0.729919870498508,0,0,0,0,0,0,0,1.72224152161782e-07,60.9519395675845,31.1749568577277,73.7778880066452,40.2134677334117,0.250322287900705,0.250322287900705,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.0228842387382744,0.0228192096255575,-0.0202695750591625,-0.0226159458051068,-0.0212810131838472
0.09,0.00259754036943343,22.5062599407889,0.205644633182545,143.036618457874,0.729919007492657,0.729919007492657,0,0,0,0,0,0,0,1.72224152161782e-07,60.9503878099656,31.1803056461553,73.7769569494705,40.2219149607003,0.250302017994844,0.250302017994844,0,0,0,0,0,0,3.43344564263104e-06,0,0,0,2.3712337621824,-0.0223688279558808,0.0221968675448605,-0.0197551188393868,-0.0220948410630537,-0.0206581542613931
