Name,MainPaCyl,time,MainPbDCV,Ps,MainPaDCV,MainXRef,MainPistonPosition,MainXDotRef,MainPistonVelocity,MainFlowA,MainFlowB,MainFF,MainPID,MainU,MainError,MainOutSignal,MainOutCompansated,MainUAdj,Name_2,JibPaCyl,Name_3,JibPaDCV,Name_4,JibPbCyl,Name_5,JibPbDCV,JibXRef,JibPistonPosition,JibXDotRef,JibVelocity,JibFlowA,JibFlowB,JibFF,JibPID,JibError,JibU,JibOutSignal,JibOutCompansated,JibUAdj,Name_6,WinchPa,WinchPb,WinchDistance,JoystickExtrude,Name_7,JoystickJib,JoystickMain,Name_8,JoystickRotation,JoystickWinch
0,14.5965910126244,0,0.211637640035245,151.757494021905,1.60485789388739e-05,0.699958964499278,0.699958964499278,0,0,0,0,0,0,0,2.37713184547683e-06,0.00157539597766045,0,0,0,57.0247024871803,0,52.768002596808,0,93.8240655858346,0,33.670937558995,0.749778316859736,0.749778316859736,0,0,0,0,0,0,-1.75157024452366e-05,0,0.00493243202002015,0,0,0,0,0,1.41725100227445,0,0,0,0,0,0,0
5,14.5995467913299,0.01,0.212773666062706,151.825591121872,-5.6312304509831e-05,0.699974869614946,0.699974869614946,0,0,0,0,0,0,0,-1.5905115668069e-05,0.00157539597766045,0,0,5,57.0175226723623,10,52.7455166184487,5,93.8183370512486,10,33.7112211429607,0.749809514564551,0.749809514564551,0,0.00143401360784878,1.52046673275337e-06,8.44703740418537e-07,0,0,-3.11977048158552e-05,0,0.00493243202002015,0,0,5,0,0,1.41725100227445,0,10,0,0,5,0,0
10,14.6009300743128,0.02,0.217863803446285,151.885056521044,0.00430942688896292,0.699982972011462,0.699982972011462,0,0,0,0,0,0,0,-8.10239651627409e-06,0.00157539597766045,0,0,10,57.003426728641,20,52.7665294584138,10,93.8246481976025,20,33.7271967678645,0.749846044057045,0.749846044057045,0,0.00256309063718163,2.71761301673593e-06,1.50978500929774e-06,0,0,-3.65294924938864e-05,0,0.00493243202002015,0,0,10,0,0,1.41725100227445,0,20,0,0,10,0,0
15,14.6014036445136,0.03,0.222940758556443,151.903450837085,0.0085212857235945,0.699980667617,0.699980667617,0,0,0,0,0,0,0,2.30439446213815e-06,0.00157539597766045,0,0,15,56.9846683790037,30,52.792535549931,15,93.8352850718498,30,33.7223646685163,0.749826142835975,0.749826142835975,0,0.00185990366621525,1.97203264678121e-06,1.09557369265623e-06,0,0,1.99012210699845e-05,0,0.00493243202002015,0,0,15,0,0,1.41725100227445,0,30,0,0,15,0,0
20,14.6147459705768,0.04,0.220657040454981,151.876893740488,0.00655432272724017,0.69998035857624,0.69998035857624,0,0,0,0,0,0,0,3.09040760537727e-07,0.00157539597766045,0,0,20,56.9915642589283,40,52.785968756856,20,93.8518880570696,40,33.7232078021411,0.749795639034454,0.749795639034454,0,0,0,0,0,0,3.05038015213643e-05,0,0.00493243202002015,0,0,20,0,0,1.41725100227445,0,40,0,0,20,0,0
25,14.6259629224187,0.05,0.214622544622223,151.846516375155,0.00338129665228935,0.69999539696224,0.69999539696224,0,0,0,0,0,0,0,-1.50383860006986e-05,0.00157539597766045,0,0,25,56.9953565454863,50,52.7795456632575,25,93.860905119636,50,33.7187587105564,0.749817975003775,0.749817975003775,0,0,0,0,0,0,-2.23359693206637e-05,0,0.00493243202002015,0,0,25,0,0,1.41725100227445,0,50,0,0,25,0,0
30,14.6287717826734,0.06,0.210427047478967,151.875249765243,0.00568019264193554,0.700005530580883,0.700005530580883,0,0,0,0,0,0,0,-1.01336186423273e-05,0.00157539597766045,0,0,30,56.9895623371821,60,52.7881114968542,30,93.8632612969405,60,33.7249507481741,0.749855293120337,0.749855293120337,0,0,0,0,0,0,-3.73181165619352e-05,0,0.00493243202002015,0,0,30,0,0,1.41725100227445,0,60,0,0,30,0,0
35,14.6388705484523,0.07,0.208375499842456,151.880620300931,0.00455042599419415,0.699979190548147,0.699979190548147,0,0,0,0,0,0,0,2.63400327361607e-05,0.00157539597766045,0,0,35,56.9766313134331,70,52.7987471190427,35,93.8604048197828,70,33.7129510821527,0.749876222931193,0.749876222931193,0,0.00212959210671215,2.25797993468653e-06,1.25443329704807e-06,0,0,-2.09298108567735e-05,0,0.00493243202002015,0,0,35,0,0,1.41725100227445,0,70,0,0,35,0,0
40,14.6372642003881,0.08,0.207614549661126,151.829523722538,0.00239340406950621,0.699947577037847,0.699947577037847,0,-0.00148489579814282,-1.79133608862406e-06,-1.09159542900529e-06,0,0,0,3.16135102990112e-05,0.00157539597766045,0,0,40,56.9530397487668,80,52.7990902306998,40,93.8556948598322,80,33.707506072714,0.749876240932834,0.749876240932834,0,0.00183208418121694,1.94253599400836e-06,1.07918666333798e-06,0,0,-1.80016406226002e-08,0,0.00493243202002015,0,0,40,0,0,1.41725100227445,0,80,0,0,40,0,0
45,14.6269324451334,0.09,0.198717009216509,151.827755189065,0.000954731211260767,0.699947812644022,0.699947812644022,0,-0.00166897824465195,-2.01340792028151e-06,-1.22692045142154e-06,0,0,0,-2.35606174459058e-07,0.00157539597766045,0,0,45,56.9379607889829,90,52.7685741973412,45,93.8509027419211,90,33.7499975222669,0.749849396683398,0.749849396683398,0,0,0,0,0,0,2.68442494358867e-05,0,0.00493243202002015,0,0,45,0,0,1.41725100227445,0,90,0,0,45,0,0
