time,MainPaCyl,Name_2,JibPaCyl,Name_4,JibPbCyl,Name_6,WinchPa,WinchPb,WinchDistance,Name_8
0,17.9495538141136,0,59.2177210515606,0,83.7049357491062,0,0,0,3.6189505856113,0
0.005,17.9632208864225,5,59.230365468066,5,83.7062874387439,5,0,0,3.6189505856113,5
0.01,17.9721054127781,10,59.2321243315342,10,83.7125839160026,10,0,0,3.6189505856113,10
0.015,17.9679612941914,15,59.2230875389762,15,83.7143596546295,15,0,0,3.6189505856113,15
0.02,17.9453727449762,20,59.2106994488197,20,83.7081449195406,20,0,0,3.6189505856113,20
0.025,17.9277063332662,25,59.2006737386492,25,83.705094563678,25,0,0,3.6189505856113,25
0.03,17.9245015124651,30,59.1913494949574,30,83.7039165024274,30,0,0,3.6189505856113,30
0.035,17.9281768360668,35,59.1761656034048,35,83.70565465142,35,0,0,3.6189505856113,35
0.04,17.945751116008,40,59.1531426829187,40,83.7103141398262,40,0,0,3.6189505856113,40
0.045,17.9552747682733,45,59.1302568234664,45,83.7079095922917,45,0,0,3.6189505856113,45
0.05,17.9540408453856,50,59.1129115376245,50,83.7027642583199,50,0,0,3.6189505856113,50
0.055,17.9615979648595,55,59.110250517283,55,83.7048384795468,55,0,0,3.6189505856113,55
0.06,17.9642279594919,60,59.1278269792248,60,83.7002422310396,60,0,0,3.6189505856113,60
0.065,17.9528359373964,65,59.1534927179248,65,83.6934210691935,65,0,0,3.6189505856113,65
0.07,17.931318240252,70,59.1825316717189,70,83.6924024437473,70,0,0,3.6189505856113,70
0.075,17.8953497794476,75,59.2218680552938,75,83.6845712093992,75,0,0,3.6189505856113,75
0.08,17.8586231895619,80,59.2538855406584,80,83.684488974084,80,0,0,3.6189505856113,80
0.085,17.8311098992831,85,59.2776745166266,85,83.6935568943796,85,0,0,3.6189505856113,85
0.09,17.8043323024039,90,59.2883997946597,90,83.7033390549238,90,0,0,3.6189505856113,90
0.095,17.7915922485608,95,59.2802494858761,95,83.7252527579791,95,0,0,3.6189505856113,95
0.1,17.7870342789651,100,59.2574198549573,100,83.7452836638089,100,0,0,3.6189505856113,100
0.105,17.7944227321098,105,59.2316795278147,105,83.7537308274813,105,0,0,3.6189505856113,105
0.11,17.8135526990243,110,59.2086747259213,110,83.7519361858895,110,0,0,3.6189505856113,110
0.115,17.8272499342064,115,59.1771250616984,115,83.7306533391438,115,0,0,3.6189505856113,115
0.12,17.8383178874081,120,59.1372011592076,120,83.7040968293998,120,0,0,3.6189505856113,120
0.125,17.8426850083714,125,59.0940985752664,125,83.6946111974643,125,0,0,3.6189505856113,125
0.13,17.8434141157956,130,59.0582308480974,130,83.6941375902261,130,0,0,3.6189505856113,130
0.135,17.8500496258937,135,59.0425935389894,135,83.6977135666188,135,0,0,3.6189505856113,135
0.14,17.8506293786735,140,59.0440415797632,140,83.7044238741914,140,0,0,3.6189505856113,140
0.145,17.8484471201941,145,59.0661446688999,145,83.6981249859754,145,0,0,3.6189505856113,145
0.15,17.8491997658812,150,59.0900955039076,150,83.6889770465284,150,0,0,3.6189505856113,150
0.155,17.8415981569287,155,59.1130276300839,155,83.6838133637821,155,0,0,3.6189505856113,155
0.16,17.8334044399884,160,59.1452733355863,160,83.6812136758218,160,0,0,3.6189505856113,160
0.165,17.8319479023797,165,59.174685968187,165,83.6782447599503,165,0,0,3.6189505856113,165
0.17,17.8279720327871,170,59.1925369008982,170,83.6736702924186,170,0,0,3.6189505856113,170
0.175,17.8292245013249,175,59.1967809849815,175,83.6767270396569,175,0,0,3.6189505856113,175
0.18,17.824962693964,180,59.192453412494,180,83.6826729359638,180,0,0,3.6189505856113,180
0.185,17.8151212201687,185,59.1831139788995,185,83.6889648691898,185,0,0,3.6189505856113,185
0.19,17.80244883442,190,59.1882723242645,190,83.7001457847018,190,0,0,3.6189505856113,190
0.195,17.7924127902783,195,59.1971145099664,195,83.711737464676,195,0,0,3.6189505856113,195
0.2,17.8003572868739,200,59.2062010280366,200,83.7217002133071,200,0,0,3.6189505856113,200
0.205,17.8168995304598,205,59.2139763959766,205,83.7332011752053,205,0,0,3.6189505856113,205
0.21,17.8403702992541,210,59.2066151400969,210,83.7359595855964,210,0,0,3.6189505856113,210
0.215,17.8670449844074,215,59.1937259333571,215,83.7382430767702,215,0,0,3.6189505856113,215
0.22,17.88906130029,220,59.1746919795795,220,83.7342416046667,220,0,0,3.6189505856113,220
0.225,17.8922405329902,225,59.1559196030167,225,83.7204672478125,225,0,0,3.6189505856113,225
0.23,17.8885196719176,230,59.1363815071263,230,83.7140640425683,230,0,0,3.6189505856113,230
0.235,17.8728044542131,235,59.1195566553641,235,83.7061936441302,235,0,0,3.6189505856113,235
0.24,17.8466268714985,240,59.1084623745783,240,83.6950924488306,240,0,0,3.6189505856113,240
0.245,17.835172014645,245,59.0920971362891,245,83.691924700269,245,0,0,3.6189505856113,245
0.25,17.8262819461377,250,59.0854936484375,250,83.688938858559,250,0,0,3.6189505856113,250
0.255,17.8256304528592,255,59.0880402944753,255,83.6864995288862,255,0,0,3.6189505856113,255
0.26,17.8496842985859,260,59.0999446802465,260,83.6846822131893,260,0,0,3.6189505856113,260
0.265,17.8770680358161,265,59.1122119432873,265,83.6757979291783,265,0,0,3.6189505856113,265
0.27,17.8959256743393,270,59.1227236516989,270,83.6556519844854,270,0,0,3.6189505856113,270
0.275,17.9023584043645,275,59.1270068322214,275,83.629871375208,275,0,0,3.6189505856113,275
0.28,17.8946802436255,280,59.1202483057757,280,83.6151623578876,280,0,0,3.6189505856113,280
0.285,17.881976118253,285,59.1230181913759,285,83.5961967397841,285,0,0,3.6189505856113,285
0.29,17.8709449504319,290,59.1162149396872,290,83.5821275558764,290,0,0,3.6189505856113,290
0.295,17.8604681232962,295,59.1081572035979,295,83.5819468864291,295,0,0,3.6189505856113,295
0.3,17.8575907546039,300,59.1027106285508,300,83.5917338822521,300,0,0,3.6189505856113,300
0.305,17.8547026096254,305,59.0973601983088,305,83.6196400736036,305,0,0,3.6189505856113,305
0.31,17.8636984544504,310,59.1024191431687,310,83.645462834771,310,0,0,3.6189505856113,310
0.315,17.8822509739149,315,59.1169990213051,315,83.6587088980442,315,0,0,3.6189505856113,315
0.32,17.8830593646678,320,59.1315959682811,320,83.6567131495912,320,0,0,3.6189505856113,320
0.325,17.877820042018,325,59.142014719267,325,83.6483051776494,325,0,0,3.6189505856113,325
0.33,17.8611995082145,330,59.143244428719,330,83.6479128959328,330,0,0,3.6189505856113,330
0.335,17.8440599155633,335,59.1364158138844,335,83.6530242576631,335,0,0,3.6189505856113,335
0.34,17.8408055694608,340,59.1290049302278,340,83.6692967980055,340,0,0,3.6189505856113,340
0.345,17.844184849085,345,59.1224944526442,345,83.6860456726634,345,0,0,3.6189505856113,345
0.35,17.8633068531398,350,59.125023009394,350,83.6984829131362,350,0,0,3.6189505856113,350
0.355,17.8825750687053,355,59.1254253839727,355,83.7051696205492,355,0,0,3.6189505856113,355
0.36,17.8931800226015,360,59.117201808909,360,83.7025564450987,360,0,0,3.6189505856113,360
0.365,17.9021197316713,365,59.096925658254,365,83.696248725507,365,0,0,3.6189505856113,365
0.37,17.8993973659691,370,59.0764051339372,370,83.6797647270616,370,0,0,3.6189505856113,370
0.375,17.9052994584377,375,59.0666064152111,375,83.670897057638,375,0,0,3.6189505856113,375
0.38,17.912178252176,380,59.0611614501892,380,83.6610552011562,380,0,0,3.6189505856113,380
0.385,17.9165074435424,385,59.0622999854734,385,83.6523204742187,385,0,0,3.6189505856113,385
0.39,17.9190358461694,390,59.0528209942136,390,83.6454381553521,390,0,0,3.6189505856113,390
